Latitude (deg) , Longitude(deg)  UTM (East) ,, UTM (North) ,, Day ,,, Hour ,, Minute , Wind (m/s) , Wind (deg) , u(m/s) ,, v(m/s) ,, w(m/s) ,," u""(m/s) ",," v""(m/s) ",," w""(m/s) ",, uv(m/s) ,, uw(m/s) ,, vw(m/s) 
39.703129,-7.748782,32960.86,3942.3,9,0,0,2.25360847,281.06710815,   2.15787554   -0.42207158 ,0.37817803,0.5015521,0.26775444,0.13692497,-0.07115416,-0.0206268,-0.00032029,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,5,2.04409361,277.92507935,   1.98751926   -0.27667835 ,0.33589661,0.39436799,0.1169837,0.07631911,0.02938826,-0.06187205,-0.0133239,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,10,1.40858793,265.79119873,   1.33826828    0.09848311 ,0.35742599,0.20664977,0.18577909,0.07553546,0.06619281,-0.00468451,-0.01011122,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,15,1.59424829,252.81581116,   1.35610962    0.41937593 ,0.36791551,0.46006575,0.42704996,0.09619249,-0.09348001,-0.05553637,0.0170806,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,20,2.0250051,257.2930603,   1.87527895    0.42285156 ,0.21564654,0.25629786,0.39710781,0.26094934,0.01436573,0.01313758,-0.10683465,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,25,1.92699504,236.82717896,   1.51251709    0.98873901 ,0.39286438,0.29420003,0.52605772,0.13482077,0.00969193,-0.02501101,-0.09692405,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,30,1.90694427,258.36618042,   1.80716538    0.37206957 ,0.50923705,0.52996522,0.24708095,0.11396237,-0.00887809,0.04749882,-0.06166188,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,35,2.34686542,260.4770813,   2.22097898    0.37257752 ,0.34034917,0.22710563,0.38917533,0.14506479,-0.08562458,-0.01786952,-0.00912056,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,40,1.42697418,247.18099976,   1.27816570    0.53779030 ,0.30750695,0.20171379,0.1165478,0.06388678,0.0220263,0.02599872,0.01452763,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,45,1.86689758,256.63180542,   1.70544720    0.40529463 ,0.25419343,0.46846613,0.35831761,0.17373045,-0.07754448,-0.13169035,-0.04692312,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,50,2.18083644,243.60174561,   1.89899039    0.94259471 ,0.33078539,0.46255517,0.21291822,0.12970318,0.0461868,-0.1083606,-0.02905465,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,55,2.07198048,243.00691223,   1.78999841    0.91177762 ,0.28570667,0.13679855,0.32758111,0.1666148,0.04841898,-0.02753751,-0.00469908,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,0,1.64068341,218.46546936,   0.95204109    1.19836104 ,0.26265413,0.29176968,0.47465226,0.14847136,0.09439413,-0.09553021,-0.10357445,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,5,1.44276929,230.63798523,   1.03963816    0.85281456 ,0.25906926,0.23339386,0.20561196,0.14643954,-0.04959306,-0.03249,-0.05714428,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,10,1.36147249,228.93504333,   0.92344910    0.80458206 ,0.23061688,0.1963148,0.39230353,0.11632637,-0.04208533,-0.02508867,-0.05535264,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,15,1.690956,205.46684265,   0.70067114    1.47117770 ,0.19331396,0.31661999,0.5246641,0.07609086,0.20723373,-0.05125179,-0.01919939,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,20,1.7392633,219.62034607,   1.06057930    1.28109360 ,0.15257803,0.2745648,0.27707723,0.22757396,0.01193623,-0.12943432,-0.07966753,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,25,1.14765847,233.11662292,   0.73763114    0.55349439 ,0.28923839,0.57256126,0.23289093,0.14300953,-0.0719504,-0.07316522,-0.04099591,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,30,1.63963675,208.40548706,   0.73083544    1.35134292 ,-0.02587911,0.37608701,0.18761727,0.19291379,0.00425403,-0.14616239,-0.03713079,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,35,1.49443567,200.62608337,   0.48152685    1.27931249 ,-0.07325329,0.33916709,0.19606875,0.07504542,-0.05216163,-0.03862502,0.01438837,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,40,1.57713234,204.57557678,   0.62086046    1.35760546 ,-0.0328751,0.22898097,0.19896089,0.0898684,-0.02614828,-0.02004359,0.02818652,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,45,0.49390298,204.34431458,   0.15233353    0.33668685 ,0.13085958,0.12792689,0.08963574,0.06649303,0.032868,0.00598149,0.0096696,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,50,0.40919185,194.63659668,   0.08421007    0.32244289 ,0.12666337,0.05655044,0.04913634,0.03726975,0.01672611,-0.01914432,-0.01153017,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,1,55,0.25544971,301.8482666,   0.08174822   -0.05078143 ,-0.01947636,0.05239778,0.02631215,0.03620841,-0.02118944,0.00611345,0.00704564,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,0,0.39884433,182.06719971,   0.00976564    0.27055362 ,-0.00510254,0.07944228,0.05069396,0.01914461,0.04774492,-0.00425338,0.0035329,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,5,0.57385415,190.22106934,   0.08624437    0.47831649 ,-0.08138551,0.10879514,0.0731352,0.04827339,-0.00708703,-0.02589861,0.0026447,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,10,0.61444169,246.00987244,   0.49149561    0.21872652 ,0.04521853,0.10561663,0.08694408,0.05777318,0.04003549,-0.00770521,0.00904453,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,15,0.39169508,335.40631104,   0.11087820   -0.24224947 ,0.07963628,0.04741674,0.10681313,0.04457663,-0.02969036,-0.01316743,0.0121575,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,20,0.29401627,345.50881958,   0.05573791   -0.21565928 ,-0.0425223,0.02672445,0.08929808,0.02404828,-0.03080161,0.00766502,-0.00975114,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,25,0.39195189,354.09988403,   0.02938399   -0.28433713 ,-0.02534189,0.06951176,0.04877516,0.03000479,0.02088506,0.0004721,-0.01112783,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,30,0.56164849,319.16140747,   0.34382623   -0.39778444 ,-0.08509351,0.06417978,0.03078864,0.05472108,-0.01004762,-0.02452027,-0.00108393,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,35,0.64476323,233.02593994,   0.30208203    0.22742084 ,0.01787662,0.09178714,0.21990192,0.04006695,-0.08125508,-0.02439861,0.02521338,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,40,1.35572243,200.02796936,   0.45775333    1.25575960 ,0.05096368,0.06600526,0.05228268,0.00890043,0.02173474,-0.00684585,-0.0019542,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,45,1.24813402,184.384552,   0.09232978    1.20417786 ,-0.10348296,0.1208545,0.09513222,0.02837316,0.08297423,0.00074726,0.011671,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,50,0.98511219,192.22642517,   0.19506925    0.90022099 ,0.09682889,0.10708498,0.10701877,0.04337999,-0.00345846,-0.02756045,-0.01958244,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,2,55,0.8191222,179.73126221,  -0.00353612    0.75392723 ,-0.12238508,0.10036843,0.04257992,0.03863532,0.019874,0.0002975,0.0022112,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,3,0,1.05622423,177.73718262,  -0.03927252    0.99388444 ,0.01955772,0.10705355,0.09281144,0.04360832,0.02658975,-0.0043112,0.00386082,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,3,5,0.68983191,201.53979492,   0.24084592    0.61017960 ,0.09192749,0.0361116,0.0384914,0.03433862,-0.01129029,-0.01522007,0.00292318,,,,,,,,,,,,,
