Latitude(deg),Longitude(deg),(East),(North),Day,Hour,Minute,(m/s),(deg),u(m/s),v(m/s),w(m/s),"u""(m/s)","v""(m/s)","w""(m/s)",uv(m/s),uw(m/s),vw(m/s)
39.71122,-7.734844,34153.4,4844.78,9,0,0,1.37565958,112.83646393,-1.11430633,0.46924591,-0.1182398,0.51172793,0.62211812,0.24497759,-0.38174939,0.14947361,-0.12935795
39.71122,-7.734844,34153.4,4844.78,9,0,5,1.38988161,115.7831192,-1.16577911,0.56313598,-0.14866255,0.37988719,0.31446058,0.15878677,-0.15582585,0.10931677,-0.08985048
39.71122,-7.734844,34153.4,4844.78,9,0,10,1.41328454,108.42873383,-1.14609981,0.38189518,-0.05001666,0.3052521,0.65283346,0.14119303,0.02052251,0.06354409,-0.04499845
39.71122,-7.734844,34153.4,4844.78,9,0,15,1.10005844,123.89255524,-0.82943588,0.55720139,-0.11452865,0.28273383,0.17255688,0.15979853,-0.06490088,0.07557014,-0.04481879
39.71122,-7.734844,34153.4,4844.78,9,0,20,0.96766251,69.85879517,-0.72614831,-0.26632488,-0.06441206,0.13216732,0.33103627,0.19529508,-0.01401137,0.05946526,-0.08807019
39.71122,-7.734844,34153.4,4844.78,9,0,25,0.9009397,113.34824371,-0.72111112,0.31127957,0.03286809,0.30064651,0.23756543,0.10555443,-0.11184902,0.08963532,-0.03468414
39.71122,-7.734844,34153.4,4844.78,9,0,30,0.81110275,155.97286987,-0.24054839,0.53959292,0.08150541,0.43176484,0.20419186,0.09631807,-0.2079809,0.02646499,-0.03523592
39.71122,-7.734844,34153.4,4844.78,9,0,35,0.64334947,70.51676178,-0.36034828,-0.12748739,-0.06095436,0.09653416,0.25576913,0.04098715,-0.07422518,0.01084457,0.00404637
39.71122,-7.734844,34153.4,4844.78,9,0,40,1.0617379,295.74853516,0.65416145,-0.31550929,0.01226349,0.35067865,0.51383007,0.19628613,-0.05157739,0.05435761,-0.03806958
39.71122,-7.734844,34153.4,4844.78,9,0,45,1.41725266,292.88589478,0.92460221,-0.39029881,-0.07833111,0.98628974,0.63515586,0.28107244,0.28528449,-0.12632903,0.08355323
39.71122,-7.734844,34153.4,4844.78,9,0,50,0.73003674,79.15489197,-0.50283748,-0.09633175,0.10776149,0.08759704,0.30332106,0.08525958,-0.03141529,0.03456581,-0.0846182
